TABLE_NAME,TABLE_TEXT
OSANCPP,Vendor WS Trans Physical file
UAAHCPP,PR YR END HOOPP RPT Physical file
UAAICPP,Sub Payments WS Errors Physical file
UAAJCPP,Employee PR Code Prelim Physical file
UAAKCPP,ED Warning File Physical file
UAAMREP,To Be Cancelled Physical file
UAAOREP,Company Owner Hierarchy Physical file
UAAPCPP,Company WS Trans Physical file
UAAQCPP,Direct Deposit WS Trans Physical file
UAARCPP,Company WS Bank Trans Physical file
UAASCPP,Company WS Owner Hrchy Physical file
UAATCPP,WS API Log Physical file
UAAUREP,WS API Config Physical file
UAAVCPP,Company WS Adtl Comments Physical file
UAAYREP,Vendor Migration Physical file
UCABCPP,PR WCB Monthly Summary Physical file
UCACCPP,Files To Update Physical file
UCADCPP,Values To Update Physical file
UCAECPP,Employee Per Pay Per Adj Physical file
UCAFCPP,Payroll Codes Policy Physical file
UCAGCPP,Vendor WS Patch Physical file
UCAHREP,Accounting Treatment Physical file
UCAICPP,CIBC CI Physical file
UCAJREP,CIBC CI WRK Physical file
UCAKCPP,French Conversion Physical file
UCALREP,Payroll Code WCB Usage Physical file
UCAMCPP,Employee Master WS Warn Physical file
UCANCPP,1T SubPayG3 Physical file
UCAOCPP,Payroll Code Prov/State Physical file
UCAPCPP,1T G3 Trade Cheque Physical file
UEAACPP,Payroll Cheques Import Physical file
UEABCPP,WD Employee WS Trans Physical file
UEACCPP,WD Employee Master Physical file
UEAECPP,Time Sheets WD WS Trans Physical file
UEAGREP,Messages Physical file
UEAICPP,WD Voucher Lines Physical file
UEAJCPP,WD Payroll Result Trans Physical file
UEAKCPP,WD Payroll Result TrLine Physical file
UEARCPP,WD Payr Result Reversal Physical file
UEA1CPP,PR Direct Deposit DELETED Physical file
UEBECPP,Cost Reports Physical file
UEBFCPP,Time Sheets WD Batch Code Physical file
UFAACPP,G3 Payroll Cheque Update Physical file
UFABCPP,GenConf Log Physical file
UFACREP,Statement of Contracts Physical file
UFADREP,Cheque Signatures Physical file
UFAHREP,Benefit Compare Exclude Physical file
